date,open,close,high,low,volume
1452401190,2936.71,2936.25,2936.79,2935.74,1675.12
1452401210,2936.14,2936.46,2936.52,2936.14,334.231
1452401258,2937.09,2937.26,2938.0,2937.0,1119.87
1452401284,2937.97,2937.89,2938.0,2937.38,465.192
1452401319,2937.99,2937.5,2938.28,2937.09,1159.13
1452401346,2938.81,2939.31,2940.0,2938.53,1874.84
1452401376,2939.66,2939.6,2939.93,2939.54,613.508
1452401407,2939.13,2939.13,2939.98,2939.12,927.465
1452401433,2938.29,2937.89,2938.32,2937.55,1020.06
1452401453,2937.52,2937.88,2938.0,2937.1,635.271
1452401497,2938.4,2938.84,2938.98,2938.1,447.948
1452401528,2938.22,2939.01,2939.22,2938.01,1231.67
1452401548,2939.08,2939.01,2939.11,2938.51,400.377
1452401580,2938.54,2939.03,2939.17,2938.54,704.606
1452401604,2939.01,2939.0,2939.4,2939.0,583.656
1452401648,2939.76,2939.76,2940.0,2939.52,707.648
1452401675,2940.53,2940.17,2940.74,2940.15,622.406
1452401707,2940.65,2941.37,2941.96,2940.65,870.594
1452401735,2942.0,2941.33,2942.58,2941.33,971.266
1452401763,2941.46,2940.82,2941.56,2940.54,636.821
1452401793,2940.52,2940.01,2940.62,2939.3,1100.98
1452401818,2940.05,2940.14,2940.22,2939.47,727.786
1452401850,2940.11,2939.96,2940.55,2939.58,737.589
1452401886,2939.04,2938.87,2939.08,2938.38,723.416
1452401903,2938.88,2939.17,2939.17,2938.53,710.456
1452401945,2939.61,2939.94,2940.51,2939.61,972.961
1452401973,2940.13,2939.55,2940.28,2939.28,434.885
1452402002,2939.44,2939.31,2939.75,2939.0,813.846
1452402035,2939.0,2939.34,2939.48,2939.0,1009.1
1452402071,2939.48,2938.87,2939.76,2938.64,1091.2
1452402092,2938.21,2938.34,2938.39,2938.0,1282.28
1452402128,2937.89,2938.49,2938.98,2937.78,679.716
1452402145,2938.92,2938.81,2939.0,2938.56,648.615
1452402169,2939.0,2938.35,2939.0,2938.31,835.323
1452402203,2938.4,2938.41,2939.0,2938.4,499.853
1452402248,2937.4,2937.68,2937.93,2937.12,438.619
1452402275,2936.82,2935.87,2936.91,2935.6,1177.03
1452402312,2935.56,2934.94,2935.96,2934.62,2517.13
1452402341,2935.48,2935.06,2935.84,2935.0,688.185
1452402361,2935.88,2937.0,2937.0,2935.58,1090.87
1452402395,2936.16,2936.19,2936.31,2935.06,1048.03
1452402410,2936.18,2936.18,2936.31,2935.73,463.056
1452402440,2936.17,2935.58,2937.0,2935.19,903.201
1452402476,2935.86,2935.49,2935.96,2935.14,579.084
1452402518,2936.33,2936.16,2936.96,2936.15,877.477
1452402529,2936.21,2935.86,2936.21,2935.56,529.622
1452402569,2935.81,2935.55,2935.85,2935.06,712.275
1452402601,2935.76,2936.23,2936.23,2935.43,623.023
1452402627,2936.07,2935.98,2936.46,2935.43,416.567
1452402660,2935.97,2936.0,2936.07,2935.37,416.528
1452402693,2936.06,2936.87,2936.91,2936.04,580.341
1452402721,2936.98,2936.5,2937.0,2936.49,571.026
1452402749,2936.93,2936.98,2936.98,2936.56,434.588
1452402774,2936.95,2936.6,2936.95,2936.26,582.55
1452402818,2935.96,2935.72,2936.32,2935.51,508.168
1452402845,2934.0,2933.59,2934.27,2933.0,1277.22
1452402880,2933.83,2933.99,2934.68,2933.83,1619.72
1452402904,2935.25,2934.38,2935.26,2934.38,770.093
1452402930,2934.91,2934.25,2934.91,2934.25,860.334
1452402969,2933.28,2933.82,2933.83,2933.0,537.382
1452402992,2933.36,2933.39,2933.85,2933.26,523.345
1452403029,2933.01,2932.97,2933.72,2932.8,910.83
1452403058,2932.14,2932.16,2932.73,2932.0,759.083
1452403086,2932.4,2932.56,2932.83,2931.78,717.873
1452403122,2933.49,2933.12,2933.87,2932.0,1423.26
1452403148,2933.0,2932.94,2933.44,2932.77,453.407
1452403165,2932.51,2932.95,2933.37,2932.51,503.046
1452403206,2933.51,2932.8,2933.85,2932.73,726.834
1452403229,2933.18,2933.23,2933.83,2933.11,355.973
1452403265,2933.79,2934.65,2935.0,2933.45,1965.23
1452403286,2934.46,2934.51,2934.73,2933.45,1302.85
1452403329,2934.06,2933.89,2934.33,2933.54,517.435
1452403355,2932.87,2932.97,2933.19,2932.5,948.166
1452403383,2932.63,2931.85,2932.76,2931.85,743.533
1452403411,2931.35,2932.22,2932.35,2931.35,856.172
1452403442,2931.94,2931.58,2932.0,2931.49,755.504
1452403474,2932.55,2932.26,2933.0,2932.0,992.631
1452403502,2931.68,2931.1,2931.85,2931.1,508.816
1452403534,2931.88,2932.01,2932.01,2931.45,1392.58
1452403565,2932.42,2932.09,2932.72,2931.98,1523.36
1452403583,2932.0,2932.09,2932.4,2931.83,615.616
1452403626,2933.52,2931.2,2933.56,2931.2,759.754
1452403650,2932.48,2932.39,2932.81,2931.85,984.554
1452403688,2932.88,2932.8,2933.19,2932.72,867.601
1452403708,2933.63,2932.83,2933.7,2932.72,834.167
1452403745,2934.39,2934.41,2934.41,2933.87,819.988
1452403773,2934.35,2933.57,2934.56,2933.56,639.156
1452403800,2933.63,2933.63,2934.42,2933.62,643.94
1452403830,2933.88,2933.04,2933.93,2933.04,655.925
1452403856,2932.75,2932.72,2932.93,2932.51,869.031
1452403899,2932.47,2932.42,2932.52,2932.04,596.16
1452403931,2930.55,2930.24,2931.07,2930.0,1726.63
1452403951,2931.07,2931.0,2931.18,2930.66,767.716
1452403985,2931.3,2931.14,2931.48,2930.67,420.412
1452404013,2931.12,2930.95,2931.27,2930.7,641.189
1452404042,2930.3,2930.98,2931.07,2930.23,647.429
1452404054,2930.92,2931.16,2931.37,2930.78,507.804
1452404113,2932.48,2932.39,2932.76,2932.17,796.002
1452404131,2931.54,2931.83,2932.17,2931.26,628.91
1452404156,2932.09,2931.88,2932.49,2931.87,786.268
1452404197,2932.48,2932.15,2932.56,2932.13,639.374
1452404230,2931.98,2931.09,2932.12,2930.0,1228.11
1452404249,2931.52,2931.52,2932.08,2931.39,542.663
1452404277,2931.2,2931.32,2931.91,2931.11,553.425
1452404305,2931.47,2931.63,2932.0,2931.41,1058.54
1452404336,2931.98,2931.87,2932.0,2931.54,999.55
1452404362,2931.83,2931.94,2931.98,2931.5,837.074
1452404390,2931.9,2931.86,2931.98,2931.5,764.219
1452404435,2932.59,2931.81,2932.59,2931.69,917.109
1452404469,2931.77,2931.96,2932.58,2931.77,655.114
1452404488,2931.96,2931.96,2932.08,2931.58,528.487
1452404533,2933.25,2932.52,2933.28,2931.5,1349.76
1452404558,2933.86,2932.46,2933.86,2932.46,803.968
1452404583,2932.11,2932.53,2932.92,2932.11,735.778
1452404619,2933.08,2933.84,2933.98,2933.03,786.515
1452404648,2934.35,2933.86,2934.46,2933.44,705.276
1452404672,2933.89,2934.01,2934.5,2933.7,607.429
1452404697,2934.01,2934.02,2934.3,2933.72,605.571
1452404731,2933.79,2934.0,2934.05,2933.63,653.755
1452404752,2934.06,2933.73,2934.2,2933.51,702.349
1452404783,2933.77,2933.69,2933.96,2933.5,461.605
1452404802,2933.78,2933.98,2934.22,2933.58,484.947
1452404841,2934.03,2933.52,2934.16,2933.4,568.678
1452404873,2933.58,2933.85,2934.17,2933.42,618.481
1452404918,2934.78,2934.6,2935.0,2934.51,870.703
1452404943,2934.53,2934.31,2934.75,2933.79,1087.05
1452404968,2934.61,2934.6,2935.0,2934.16,719.325
1452404996,2934.4,2933.96,2934.43,2933.81,548.244
1452405017,2933.81,2933.88,2934.12,2933.73,602.637
1452405036,2934.02,2934.09,2934.12,2933.8,783.606
1452405085,2934.1,2933.88,2934.13,2933.73,523.366
1452405124,2933.73,2933.8,2933.92,2933.6,501.947
1452405161,2932.45,2932.65,2932.74,2932.0,785.326
1452405176,2932.74,2932.38,2932.89,2932.31,741.72
1452405202,2932.36,2932.32,2932.67,2932.18,1065.38
1452405224,2932.53,2932.29,2932.66,2932.24,636.36
1452405273,2932.35,2931.88,2932.46,2931.64,1330.97
1452405291,2931.82,2932.32,2932.71,2931.8,879.437
